Neighbor list in replicated POSCAR file
Nearest neighbor distance: 1.926
Neighbor distances: (angstrom), number of neighbors
154th nearest neighbor distance: 10.981, number of neighbors: 28
155th nearest neighbor distance: 11.012, number of neighbors: 28
156th nearest neighbor distance: 11.111, number of neighbors: 96
157th nearest neighbor distance: 11.124, number of neighbors: 38
158th nearest neighbor distance: 11.126, number of neighbors: 78
159th nearest neighbor distance: 11.163, number of neighbors: 84
160th nearest neighbor distance: 11.181, number of neighbors: 24
161th nearest neighbor distance: 11.191, number of neighbors: 54
162th nearest neighbor distance: 11.205, number of neighbors: 96
163th nearest neighbor distance: 11.211, number of neighbors: 160
164th nearest neighbor distance: 11.224, number of neighbors: 70
165th nearest neighbor distance: 11.247, number of neighbors: 28
166th nearest neighbor distance: 11.255, number of neighbors: 104
167th nearest neighbor distance: 11.257, number of neighbors: 156
168th nearest neighbor distance: 11.261, number of neighbors: 176
169th nearest neighbor distance: 11.280, number of neighbors: 22
170th nearest neighbor distance: 11.290, number of neighbors: 34
171th nearest neighbor distance: 11.304, number of neighbors: 14
172th nearest neighbor distance: 11.339, number of neighbors: 20
173th nearest neighbor distance: 11.388, number of neighbors: 36
174th nearest neighbor distance: 11.399, number of neighbors: 60
175th nearest neighbor distance: 11.428, number of neighbors: 28
176th nearest neighbor distance: 11.467, number of neighbors: 56
177th nearest neighbor distance: 11.472, number of neighbors: 24
178th nearest neighbor distance: 11.505, number of neighbors: 32
179th nearest neighbor distance: 11.526, number of neighbors: 60
180th nearest neighbor distance: 11.542, number of neighbors: 108
181th nearest neighbor distance: 11.556, number of neighbors: 98
182th nearest neighbor distance: 11.558, number of neighbors: 228
183th nearest neighbor distance: 11.579, number of neighbors: 60
184th nearest neighbor distance: 11.590, number of neighbors: 18
185th nearest neighbor distance: 11.602, number of neighbors: 32
186th nearest neighbor distance: 11.605, number of neighbors: 16
187th nearest neighbor distance: 11.665, number of neighbors: 72
188th nearest neighbor distance: 11.668, number of neighbors: 20
189th nearest neighbor distance: 11.686, number of neighbors: 20
190th nearest neighbor distance: 11.749, number of neighbors: 32
191th nearest neighbor distance: 11.802, number of neighbors: 56
192th nearest neighbor distance: 11.823, number of neighbors: 192
193th nearest neighbor distance: 11.844, number of neighbors: 32
194th nearest neighbor distance: 11.850, number of neighbors: 64
195th nearest neighbor distance: 11.929, number of neighbors: 28
196th nearest neighbor distance: 11.982, number of neighbors: 156
197th nearest neighbor distance: 12.034, number of neighbors: 40
198th nearest neighbor distance: 12.063, number of neighbors: 36
199th nearest neighbor distance: 12.087, number of neighbors: 26
200th nearest neighbor distance: 12.107, number of neighbors: 44
201th nearest neighbor distance: 12.114, number of neighbors: 6
202th nearest neighbor distance: 12.134, number of neighbors: 16
203th nearest neighbor distance: 12.138, number of neighbors: 132
204th nearest neighbor distance: 12.153, number of neighbors: 36
205th nearest neighbor distance: 12.158, number of neighbors: 40
206th nearest neighbor distance: 12.180, number of neighbors: 36
207th nearest neighbor distance: 12.215, number of neighbors: 108
208th nearest neighbor distance: 12.251, number of neighbors: 40
209th nearest neighbor distance: 12.265, number of neighbors: 110
210th nearest neighbor distance: 12.318, number of neighbors: 14
211th nearest neighbor distance: 12.333, number of neighbors: 56
212th nearest neighbor distance: 12.334, number of neighbors: 64
213th nearest neighbor distance: 12.368, number of neighbors: 18
214th nearest neighbor distance: 12.383, number of neighbors: 24
215th nearest neighbor distance: 12.416, number of neighbors: 48
216th nearest neighbor distance: 12.418, number of neighbors: 60
217th nearest neighbor distance: 12.439, number of neighbors: 12
218th nearest neighbor distance: 12.458, number of neighbors: 16
219th nearest neighbor distance: 12.492, number of neighbors: 8
220th nearest neighbor distance: 12.517, number of neighbors: 48
221th nearest neighbor distance: 12.533, number of neighbors: 10
222th nearest neighbor distance: 12.538, number of neighbors: 54
223th nearest neighbor distance: 12.542, number of neighbors: 76
224th nearest neighbor distance: 12.565, number of neighbors: 20
225th nearest neighbor distance: 12.587, number of neighbors: 108
226th nearest neighbor distance: 12.592, number of neighbors: 20
227th nearest neighbor distance: 12.606, number of neighbors: 48
228th nearest neighbor distance: 12.626, number of neighbors: 30
229th nearest neighbor distance: 12.662, number of neighbors: 28
230th nearest neighbor distance: 12.677, number of neighbors: 36
231th nearest neighbor distance: 12.690, number of neighbors: 26
232th nearest neighbor distance: 12.697, number of neighbors: 28
233th nearest neighbor distance: 12.709, number of neighbors: 128
234th nearest neighbor distance: 12.712, number of neighbors: 8
235th nearest neighbor distance: 12.724, number of neighbors: 60
236th nearest neighbor distance: 12.750, number of neighbors: 28
237th nearest neighbor distance: 12.778, number of neighbors: 58
238th nearest neighbor distance: 12.779, number of neighbors: 132
239th nearest neighbor distance: 12.798, number of neighbors: 20
240th nearest neighbor distance: 12.808, number of neighbors: 16
241th nearest neighbor distance: 12.844, number of neighbors: 22
242th nearest neighbor distance: 12.848, number of neighbors: 10
243th nearest neighbor distance: 12.878, number of neighbors: 28
244th nearest neighbor distance: 12.920, number of neighbors: 32
245th nearest neighbor distance: 12.933, number of neighbors: 60
246th nearest neighbor distance: 12.951, number of neighbors: 14
247th nearest neighbor distance: 12.955, number of neighbors: 96
248th nearest neighbor distance: 12.958, number of neighbors: 20
249th nearest neighbor distance: 12.963, number of neighbors: 48
250th nearest neighbor distance: 12.991, number of neighbors: 40
251th nearest neighbor distance: 13.044, number of neighbors: 52
252th nearest neighbor distance: 13.068, number of neighbors: 96
253th nearest neighbor distance: 13.074, number of neighbors: 6
254th nearest neighbor distance: 13.092, number of neighbors: 96
255th nearest neighbor distance: 13.121, number of neighbors: 72
256th nearest neighbor distance: 13.164, number of neighbors: 76
257th nearest neighbor distance: 13.194, number of neighbors: 24
258th nearest neighbor distance: 13.201, number of neighbors: 20
259th nearest neighbor distance: 13.204, number of neighbors: 76
260th nearest neighbor distance: 13.208, number of neighbors: 12
261th nearest neighbor distance: 13.218, number of neighbors: 4
262th nearest neighbor distance: 13.236, number of neighbors: 14
263th nearest neighbor distance: 13.246, number of neighbors: 208
264th nearest neighbor distance: 13.278, number of neighbors: 24
265th nearest neighbor distance: 13.344, number of neighbors: 30
266th nearest neighbor distance: 13.348, number of neighbors: 60
267th nearest neighbor distance: 13.368, number of neighbors: 16
268th nearest neighbor distance: 13.389, number of neighbors: 8
269th nearest neighbor distance: 13.402, number of neighbors: 20
270th nearest neighbor distance: 13.422, number of neighbors: 70
271th nearest neighbor distance: 13.452, number of neighbors: 12
272th nearest neighbor distance: 13.484, number of neighbors: 28
273th nearest neighbor distance: 13.517, number of neighbors: 8
274th nearest neighbor distance: 13.535, number of neighbors: 14
275th nearest neighbor distance: 13.560, number of neighbors: 36
276th nearest neighbor distance: 13.562, number of neighbors: 72
277th nearest neighbor distance: 13.581, number of neighbors: 14
278th nearest neighbor distance: 13.590, number of neighbors: 36
279th nearest neighbor distance: 13.596, number of neighbors: 16
280th nearest neighbor distance: 13.602, number of neighbors: 28
281th nearest neighbor distance: 13.635, number of neighbors: 40
282th nearest neighbor distance: 13.655, number of neighbors: 14
283th nearest neighbor distance: 13.663, number of neighbors: 8
284th nearest neighbor distance: 13.676, number of neighbors: 44
285th nearest neighbor distance: 13.694, number of neighbors: 16
286th nearest neighbor distance: 13.712, number of neighbors: 12
287th nearest neighbor distance: 13.749, number of neighbors: 10
288th nearest neighbor distance: 13.762, number of neighbors: 40
289th nearest neighbor distance: 13.768, number of neighbors: 294
290th nearest neighbor distance: 13.800, number of neighbors: 24
291th nearest neighbor distance: 13.845, number of neighbors: 14
292th nearest neighbor distance: 13.853, number of neighbors: 72
293th nearest neighbor distance: 13.857, number of neighbors: 48
294th nearest neighbor distance: 13.872, number of neighbors: 16
295th nearest neighbor distance: 13.890, number of neighbors: 16
296th nearest neighbor distance: 13.904, number of neighbors: 14
297th nearest neighbor distance: 13.913, number of neighbors: 8
298th nearest neighbor distance: 13.920, number of neighbors: 14
299th nearest neighbor distance: 14.000, number of neighbors: 6
300th nearest neighbor distance: 14.003, number of neighbors: 88
301th nearest neighbor distance: 14.058, number of neighbors: 20
302th nearest neighbor distance: 14.068, number of neighbors: 12
303th nearest neighbor distance: 14.082, number of neighbors: 76
304th nearest neighbor distance: 14.089, number of neighbors: 20
305th nearest neighbor distance: 14.125, number of neighbors: 92
306th nearest neighbor distance: 14.131, number of neighbors: 14
307th nearest neighbor distance: 14.137, number of neighbors: 20
308th nearest neighbor distance: 14.170, number of neighbors: 36
309th nearest neighbor distance: 14.204, number of neighbors: 12
310th nearest neighbor distance: 14.217, number of neighbors: 8
311th nearest neighbor distance: 14.237, number of neighbors: 6
312th nearest neighbor distance: 14.244, number of neighbors: 6
313th nearest neighbor distance: 14.253, number of neighbors: 20
314th nearest neighbor distance: 14.266, number of neighbors: 24
315th nearest neighbor distance: 14.302, number of neighbors: 36
316th nearest neighbor distance: 14.319, number of neighbors: 10
317th nearest neighbor distance: 14.354, number of neighbors: 20
318th nearest neighbor distance: 14.366, number of neighbors: 66
319th nearest neighbor distance: 14.373, number of neighbors: 16
320th nearest neighbor distance: 14.376, number of neighbors: 12
321th nearest neighbor distance: 14.410, number of neighbors: 22
322th nearest neighbor distance: 14.445, number of neighbors: 36
323th nearest neighbor distance: 14.466, number of neighbors: 16
324th nearest neighbor distance: 14.487, number of neighbors: 38
325th nearest neighbor distance: 14.514, number of neighbors: 12
326th nearest neighbor distance: 14.516, number of neighbors: 12
327th nearest neighbor distance: 14.539, number of neighbors: 16
328th nearest neighbor distance: 14.575, number of neighbors: 10
329th nearest neighbor distance: 14.577, number of neighbors: 10
330th nearest neighbor distance: 14.582, number of neighbors: 32
331th nearest neighbor distance: 14.603, number of neighbors: 44
332th nearest neighbor distance: 14.615, number of neighbors: 24
333th nearest neighbor distance: 14.641, number of neighbors: 68
334th nearest neighbor distance: 14.647, number of neighbors: 16
335th nearest neighbor distance: 14.651, number of neighbors: 6
336th nearest neighbor distance: 14.658, number of neighbors: 32
337th nearest neighbor distance: 14.721, number of neighbors: 48
338th nearest neighbor distance: 14.723, number of neighbors: 32
